년월,시도명,시군구명,총거주인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,총결제금액
"2019-09",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,0
"2019-09",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,321786189
"2019-09",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,467812615
"2019-09",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,278128958
"2019-09",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,216851968
"2019-09",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,183000
"2019-09",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,760999307
"2019-09",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,535665158
"2019-09",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,192475062
"2019-09",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,0
"2019-09",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-09",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,518870986
"2019-09",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,1129029300
"2019-09",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,71584553
"2019-09",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,305219453
"2019-09",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,263326135
"2019-09",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,360073687
"2019-09",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,331073417
"2019-09",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,202664429
"2019-09",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,0
"2019-09",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,592218795
"2019-09",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,246843549
"2019-09",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,450035195
"2019-09",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,116450
"2019-09",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,0
"2019-09",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,1559994067
"2019-09",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,2032455833
